Id;Nom;Type;Texte;Action gratuite;Couleur scan;Revenu;Cout;Gain;Contrainte
1;Mission Pioneer 11;Mission conditionnelle;Mission: Gagnez 1 Donnée après avoir visité Jupiter. Mission: Gagnez 4 PV après avoir visité Saturne.;1 Déplacement;Jaune;1 Energie;0 Crédit;;GAIN_ON_VISIT:jupiter:data:1 + GAIN_ON_VISIT:saturn:pv:4
2;Mission Mariner 10;Mission conditionnelle;Mission: Gagnez 1 Pioche après avoir visité Mercure. Mission: Gagnez 1 Média après avoir visité Vénus.;1 Déplacement;Bleu;1 Crédit;0 Crédit;;GAIN_ON_VISIT:mercury:card:1 + GAIN_ON_VISIT:venus:media:1
3;Mission Voyager 2;Mission conditionnelle;Mission: Gagnez 1 Energie après avoir visité Uranus. Mission: Gagnez 1 Crédit après avoir visité Neptune.;1 Déplacement;Jaune;1 Pioche;0 Crédit;;GAIN_ON_VISIT:uranus:energy:1 + GAIN_ON_VISIT:neptune:credit:1
4;Mission Galileo;Mission conditionnelle;Mission: Gagnez 1 Média après avoir visité Vénus. Mission: Gagnez 1 Donnée après avoir visité Jupiter.;1 Déplacement;Rouge;1 Pioche;0 Crédit;;GAIN_ON_VISIT:venus:media:1 + GAIN_ON_VISIT:jupiter:data:1
5;Sonde Venera;Mission déclenchable;Gagnez 1 Sonde et 1 Média. Mission: Gagnez 7 PV et 1 Média si vous avez un orbiteur/atterrisseur sur Vénus.;1 Déplacement;Bleu;1 Crédit;3 Crédits;1 Sonde + 1 Média;GAIN_IF_ORBITER_OR_LANDER:venus:pv:7:media:1
6;Sonde Juno;Mission déclenchable;Gagnez 1 Sonde et 1 Donnée. Mission: Gagnez 7 PV et 1 Média si vous avez un orbiteur/atterrisseur sur Jupiter (lunes comprises).;1 Donnée;Rouge;1 Energie;3 Crédits;1 Sonde + 1 Donnée;GAIN_IF_ORBITER_OR_LANDER:jupiter:pv:7:media:1
7;Sonde MESSENGER;Mission déclenchable;Gagnez 1 Sonde et 1 Déplacement. Mission: Gagnez 7 PV et 1 Média si vous avez un orbiteur/atterrisseur sur Mercure.;1 Média;Jaune;1 Pioche;3 Crédits;1 Sonde + 1 Déplacement;GAIN_IF_ORBITER_OR_LANDER:mercury:pv:7:media:1
8;Sonde Cassini;Mission déclenchable;Gagnez 1 Sonde et 1 Carte. Mission: Gagnez 6 PV et 1 Média si vous avez un orbiteur/atterrisseur sur Saturne (lunes comprises).;1 Média;Rouge;1 Energie;3 Crédits;1 Sonde + 1 Carte;GAIN_IF_ORBITER_OR_LANDER:saturn:pv:6:media:1
9;Falcon Heavy;Action;Gagnez 2 sondes et 1 Média. Ignorez la limite de sondes sur le plateau Systéme Solaire pour ces lancements.;1 Déplacement;Jaune;1 Crédit;3 Crédits;2 Sondes + 1 Média;IGNORE_PROBE_LIMIT
10;Mission ODINUS;Mission déclenchable;Gagnez 1 Rotation et 1 Technologie Exploration. Mission: Gagnez 5 PV et 1 Carte si vous avez un orbiteur/atterrisseur sur Neptune et Uranus (lunes comprises).;1 Donnée;Noir;1 Energie;3 Crédits;1 Rotation + 1 Tech Exploration;GAIN_IF_ORBITER_OR_LANDER:uranus&neptune:pv:5:anycard:1
11;Subventions;Action;Gagnez 1 Carte. Révélez la carte que vous avez piochée et bénéfciez de son action gratuite.;1 Média;Jaune;1 Energie;1 Crédit;;REVEAL_AND_TRIGGER_FREE_ACTION
12;Europa Clipper;Fin de jeu;Gagnez 1 Atterrissage sur une planète ou une lune, même sans la technologie requise. Fin de jeu: Gagnez 3 PVs pour chacun de vos Orbiteurs et Atterrisseurs sur Jupiter (lunes comprises).;1 Média;Noir;1 Crédit;2 Crédits;1 Atterrissage;IGNORE_SATELLITE_LIMIT + SCORE_PER_ORBITER_LANDER:jupiter:3
13;Rover Perseverance;Action;Gagnez 1 Atterrissage. Si vous posez une sonde sur Mars, Mercure ou n'importe quelle lune avec cette action, gagnez 4 PVs.;1 Média;Bleu;1 Pioche;1 Crédit;1 Atterrissage;
