Id;Nom;Type;Texte;Action gratuite;Couleur scan;Revenu;Cout;Gain;Contrainte
ET.1;Exploration en Rover;Mission Conditionnelle;Gagnez 1 Atterrissage sur une planète ou une lune, même sans la technologie requise. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 3 PV, 3 Données et la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Terre.;2 Médias;Noir;Energie;2 Crédits;;
ET.2;Premier Contact;Mission Conditionnelle;Gagnez 1 Déplacement et 1 Atterrissage. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 2 Données et la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Terre.;2 Médias;Bleu;Pioche;1 Crédit;1 Déplacement;
ET.3;Prélèvement de Spécimens à Grande Echelle;Mission Conditionnelle;Gagnez 1 Mise en Orbite ou 1 Atterrissage. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 3 PV, 1 Crédit et la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Terre.;1 PV + 1 Donnée;Jaune;Energie;1 Crédit;;
ET.4;Laboratoire Martien de Quarantaine;Mission Conditionnelle;Gagnez 1 Atterrissage. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 2 PV, 1 Carte et la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Mars.;1 PV + 1 Donnée;Rouge;Crédit;1 Crédit;;
ET.5;Etude de l'Ecosystème;Fin de Jeu;Consultez tous les jetons Mascamites d'une planète où se trouve l'une de vos sondes. Choisissez-en un, gagner sa récompense, puis remmettez-le en place. Fin de Jeu: Gagnez 1 PV pour chaque Trace de Vie que vous avez marquée pour cette espèce.;1 PV + 1 Déplacement;Bleu;Pioche;1 Crédit;;
ET.6;La Reine;Mission Conditionnelle;Gagnez 1 Atterrissage sur une planète ou une lune, même sans la technologie requise. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 6 PV, 2 Médias et la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Terre.;1 PV + 1 Déplacement;Rouge;Crédit;2 Crédits;;
ET.7;Prélèvement de Reproducteurs;Mission Conditionnelle;Gagnez 1 Atterrissage. Puis vous pouvez prélevez un specimen Mascamites. Mission: Gagnez 2 fois la récompense indiquée sous le jeton Mascamite si vous amenez ce spécimen sur Terre.;2 Médias;Rouge;Energie;1 Crédit;;
ET.8;Prélèvement de la Ruche;Mission Conditionnelle;Gagnez 1 Média, 1 Rotation et 1 Technologie Exploration. Mission: Choisissez Jupiter ou saturne. Gagnez la récompense d'un jeton Mascamite de la planète si vous avez marqué 2 Traces de Vie Jaune pour cette espèce.;1 PV + 1 Déplacement;Bleu;Energie;3 Crédits;1 Média + 1 Rotation + 1 Tech Exploration;
ET.9;Surveillance Orbitale;Mission Conditionnelle;Gagnez 1 Média, 1 Rotation et 1 Technologie Observation. Mission: Choisissez Jupiter ou saturne. Gagnez la récompense d'un jeton Mascamite de la planète si vous avez marqué 2 Traces de Vie Rouge pour cette espèce.;1 PV + 1 Déplacement;Jaune;Crédit;3 Crédits;1 Média + 1 Rotation + 1 Tech Observation;
ET.10;Simulations Informatiques;Mission Conditionnelle;Gagnez 1 Média, 1 Rotation et 1 Technologie Informatique. Mission: Choisissez Jupiter ou saturne. Gagnez la récompense d'un jeton Mascamite de la planète si vous avez marqué 2 Traces de Vie Bleu pour cette espèce.;1 PV + 1 Donnée;Jaune;Pioche;3 Crédits;1 Média + 1 Rotation + 1 Tech Informatique;
