Id;Nom;Type;Texte;Action gratuite;Couleur scan;Revenu;Cout;Gain;Contrainte
ET.21;Visiteur Céleste;Mission Conditionnelle;Gagnez 1 Scan et gagnez 2 PV pour chaque signal que vous marquez sur Oumuamua. Mission: Gagnez 1 Donnée si vous avez marqué une Trace de Vie pour cette espèce qui nécessite un paiement en token.;2 Médias;Bleu;Pioche;2 Crédits;1 Scan;GAIN_ON_SIGNAL:oumuamua:pv:2 + GAIN_IF_PAY_FOR_LIFETRACE:data:1
ET.22;Modification de Trajectoire;Mission Conditionnelle;Gagnez 1 Scan et gagnez 1 Token si vous marquez au moins un signal sur Oumuamua. Mission: Gagnez 4 PVs si vous avez posé une sonde sur Oumuamua.;1 PV + 1 Déplacement;Rouge;Energie;2 Crédits;1 Scan;GAIN_ON_SIGNAL:oumuamua:token:1 + GAIN_IF_LANDER:oumuamua:pv:4
ET.23;Découverte d'Exofossiles;Mission Conditionnelle;Gagnez 1 Signal dans le secteur d'Oumuamua. Mission: Défaussez 2 Token et Gagnez 11 PVs si vous avez au moins 3 Tokens.;2 Médias;Jaune;Energie;1 Crédit;1 Signal Oumuamua;GAIN_IF_3_TOKEN:token:-2:pv:11
ET.24;Cartographie du Terrain;Fin de Jeu;Gagnez 1 Signal dans un secteur Jaune, Rouge et Bleu. Puis vous pouvez défausser 1 Token pour marquer 1 Signal dans n'importe quel secteur. Mission: Gagnez 1 PV pour chaque Trace de Vie que vous avez marquée pour cette espèce.;1 PV + 1 Déplacement;Jaune;Crédit;3 Crédits;1 Signal Jaune + 1 Signal Rouge + 1 Signal Bleu;GAIN_ON_TOKEN:anysignal:1
ET.25;Adaptation des Sondes;Action;Vous pouvez défaussez 1 Token autant de fois que vous le souhaitez pour gagner 2 Déplacements à chaque fois. Puis gagnez 1 Atterrissage.;1 PV + 1 Donnée;Bleu;Crédit;1 Crédit;;GAIN_ON_TOKEN_AND_LAND:move:1
ET.26;Course contre la Montre;Action;Gagnez 1 Sonde et 1 Token;2 Médias;Rouge;Energie;1 Crédit;1 Sonde + 1 Token;
ET.27;Synchronisation Parfaite;Mission Conditionnelle;Gagnez 4 Déplacements. Si vous visitez Oumuamua ce tour-ci, gagnez 1 Token. Mission: Gagnez 1 Token si vous avez marqué au moins 1 Signal sur Oumuamua.;1 PV + 1 Donnée;Jaune;Crédit;2 Crédits;4 Déplacements;GAIN_ON_VISIT:oumuamua:token:1 + GAIN_IF_SIGNAL:oumuamua:token:1
ET.28;Echantillons d'Exofossiles;Action;Gagnez 1 Rotation et 1 Technologie Informatique. Puis vous pouvez défausser 1 Token pour gagner 1 Donnée.;1 PV + 1 Déplacement;Bleu;Pioche;2 Crédits;1 Rotation + 1 Tech Informatique;GAIN_ON_TOKEN:data:1
ET.29;Analyse Comparative;Misison Déclenchable;Gagnez 1 Token. Mission: Gagnez 1 Donnée après avoir marqué une Trace de Vie. Mission: Gagnez 1 Média après avoir marqué une Trace de Vie. Mission: Gagnez 3 PV après avoir marqué une Trace de Vie.;1 PV + 1 Déplacement;Rouge;Energie;1 Crédit;1 Token;GAIN_ON_LIFETRACE:any:data:1 + GAIN_ON_LIFETRACE:any:media:1 + GAIN_ON_LIFETRACE:any:pv:3
ET.30;Rover d'Excavation;Mission Conditionnelle;Gagnez 1 Atterrissage. Si vous posez une sonde sur Oumuamua grâce à cette action, gagnez 3 PV. Mission: Gagnez 1 Token si vous avez marqué une Trace de Vie Rouge, Bleu et Jaune pour cette espèce.;1 PV + 1 Donnée;Noir;Pioche;1 Crédit;1 Atterrissage;GAIN_ON_LAND:oumuamua:pv:3
